transaction_id,user_id,date,amount,merchant,city,txn_type,payment_method
TXN0073,U055,2022-12-15,2888.6,Ola,Kolkata,DEBIT,UPI
TXN0074,U029,2023-02-19,544.36,IRCTC,Hyderabad,DEBIT,Card
TXN0075,U092,2023-12-28,2828.96,Flipkart,Chennai,CREDIT,UPI
TXN0076,U053,2022-02-09,3450.83,Ola,Chennai,CREDIT,UPI
TXN0077,U071,2022-01-06,1901.73,Ola,Chennai,DEBIT,Netbanking
TXN0078,U066,2022-11-25,1315.28,Flipkart,Mumbai,CREDIT,Netbanking
TXN0079,U079,2023-10-20,2400.97,Amazon,Bangalore,DEBIT,Card
TXN0080,U031,2023-11-27,1966.1,Uber,Hyderabad,CREDIT,Card
TXN0081,U039,2022-09-19,3320.58,Uber,Pune,DEBIT,UPI
TXN0082,U060,2023-09-26,1270.69,IRCTC,Chennai,CREDIT,UPI
TXN0083,U023,2023-04-24,3528.81,Myntra,Mumbai,DEBIT,Card
TXN0084,U025,2022-04-07,3996.58,Swiggy,Bangalore,DEBIT,Card
TXN0085,U091,2023-06-27,3430.74,IRCTC,Pune,DEBIT,UPI
TXN0086,U035,2022-09-28,3062.83,BigBasket,Bangalore,CREDIT,Card
TXN0087,U060,2023-08-18,831.17,IRCTC,Kolkata,CREDIT,UPI
TXN0088,U069,2023-11-03,1113.82,Amazon,Delhi,CREDIT,UPI
TXN0089,U028,2022-11-05,2646.24,Flipkart,Ahmedabad,CREDIT,Netbanking
TXN0090,U073,2022-07-12,2531.24,Ola,Ahmedabad,DEBIT,Netbanking
TXN0091,U009,2023-02-16,4946.98,Zomato,Hyderabad,CREDIT,Card
TXN0092,U081,2022-01-03,4451.48,Uber,Ahmedabad,CREDIT,Card
TXN0093,U049,2022-02-20,2188.18,Flipkart,Hyderabad,CREDIT,Card
TXN0094,U030,2023-10-15,3938.97,Swiggy,Kolkata,CREDIT,Card
TXN0095,U064,2022-04-19,2717.0,IRCTC,Pune,DEBIT,UPI
TXN0096,U037,2022-08-05,3034.74,Ola,Chennai,DEBIT,Netbanking
TXN0097,U005,2022-08-11,3400.82,Flipkart,Pune,DEBIT,Netbanking
TXN0098,U057,2022-09-23,1550.61,Uber,Mumbai,DEBIT,Card
TXN0099,U086,2023-10-26,4080.91,Myntra,Hyderabad,CREDIT,Card
TXN0100,U031,2023-12-07,1678.52,Uber,Kolkata,DEBIT,Card
TXN0101,U014,2022-08-24,3409.36,BigBasket,Pune,DEBIT,Card
TXN0102,U056,2022-01-04,1520.56,BigBasket,Chennai,CREDIT,Netbanking
TXN0103,U052,2022-08-22,2633.37,Amazon,Pune,DEBIT,UPI
TXN0104,U039,2022-10-30,156.45,Swiggy,Pune,CREDIT,Card
TXN0105,U025,2022-06-11,1830.05,Zomato,Chennai,DEBIT,Card
TXN0106,U013,2022-03-23,1802.09,Amazon,Ahmedabad,DEBIT,Card
TXN0107,U024,2023-07-13,2941.96,Ola,Mumbai,DEBIT,UPI
TXN0108,U073,2023-12-12,61.85,Uber,Kolkata,DEBIT,UPI
TXN0109,U001,2022-12-07,3099.52,Zomato,Hyderabad,DEBIT,Netbanking
TXN0110,U060,2023-03-25,3722.73,IRCTC,Ahmedabad,CREDIT,Card
TXN0111,U080,2022-07-02,3556.33,Amazon,Pune,CREDIT,UPI
TXN0112,U086,2022-06-15,1389.69,Flipkart,Hyderabad,CREDIT,Card
TXN0113,U100,2022-10-22,3655.63,Uber,Chennai,DEBIT,Card
TXN0114,U023,2023-08-16,2058.01,Flipkart,Kolkata,DEBIT,UPI
TXN0115,U075,2023-11-08,1597.68,Zomato,Pune,DEBIT,Card
TXN0116,U068,2023-03-09,1338.92,Amazon,Kolkata,DEBIT,Card
TXN0117,U096,2022-06-17,3138.23,Ola,Delhi,DEBIT,Card
TXN0118,U064,2023-06-08,3670.38,BigBasket,Bangalore,DEBIT,Netbanking
TXN0119,U047,2022-05-30,3748.13,BigBasket,Ahmedabad,CREDIT,Card
TXN0120,U062,2023-01-26,1352.25,Myntra,Bangalore,DEBIT,Card
TXN0121,U095,2023-01-11,2343.84,Zomato,Delhi,DEBIT,Netbanking
TXN0122,U062,2023-01-05,2939.35,Amazon,Kolkata,DEBIT,Card
TXN0123,U051,2022-07-27,4151.27,Flipkart,Hyderabad,CREDIT,Card
TXN0124,U031,2022-01-07,504.26,Ola,Mumbai,DEBIT,Card
TXN0125,U019,2022-03-02,4135.89,IRCTC,Kolkata,CREDIT,UPI
TXN0126,U074,2023-02-07,2725.04,IRCTC,Hyderabad,CREDIT,Card
TXN0127,U094,2022-10-23,4058.11,Swiggy,Delhi,CREDIT,UPI
TXN0128,U027,2022-01-26,615.57,Zomato,Kolkata,CREDIT,UPI
TXN0129,U084,2022-03-20,4488.71,Myntra,Ahmedabad,CREDIT,Card
TXN0130,U042,2022-12-12,4403.03,Amazon,Mumbai,CREDIT,Card
TXN0131,U017,2023-03-18,4420.36,Myntra,Mumbai,DEBIT,Card
TXN0132,U005,2022-09-10,3576.98,IRCTC,Hyderabad,DEBIT,Netbanking
TXN0133,U099,2022-03-16,3419.86,IRCTC,Chennai,CREDIT,Netbanking
TXN0134,U059,2023-12-14,580.3,Uber,Ahmedabad,CREDIT,UPI
TXN0135,U026,2022-12-27,787.21,Uber,Ahmedabad,CREDIT,Netbanking
TXN0136,U050,2023-12-17,3828.5,Myntra,Bangalore,CREDIT,UPI
TXN0137,U004,2023-08-28,4414.48,Swiggy,Delhi,CREDIT,Card
TXN0138,U007,2023-10-14,995.71,Flipkart,Delhi,CREDIT,Netbanking
TXN0139,U075,2022-06-12,1935.88,Zomato,Ahmedabad,CREDIT,Netbanking
TXN0140,U040,2023-08-03,2568.2,Swiggy,Pune,CREDIT,Netbanking
TXN0141,U086,2023-10-28,272.26,Flipkart,Kolkata,CREDIT,Card
TXN0142,U010,2023-03-03,70.72,Swiggy,Chennai,CREDIT,Card
TXN0143,U013,2022-11-13,1960.57,Swiggy,Pune,CREDIT,Card
TXN0144,U013,2022-12-05,838.63,Myntra,Kolkata,DEBIT,Netbanking
TXN0145,U016,2023-12-02,2176.31,Amazon,Bangalore,CREDIT,UPI
TXN0146,U017,2023-07-22,1630.33,Myntra,Hyderabad,CREDIT,Card
TXN0147,U087,2022-01-26,927.66,Swiggy,Pune,CREDIT,Netbanking
TXN0148,U029,2023-06-04,3492.71,Ola,Pune,DEBIT,Netbanking
TXN0149,U055,2023-07-26,4668.05,Myntra,Chennai,CREDIT,Netbanking
TXN0150,U055,2023-01-27,871.22,Uber,Ahmedabad,DEBIT,UPI
TXN0151,U016,2023-10-13,2549.18,Amazon,Hyderabad,CREDIT,Card
TXN0152,U074,2022-08-01,2060.36,Flipkart,Kolkata,CREDIT,Card
TXN0153,U090,2023-04-04,39.18,Ola,Ahmedabad,DEBIT,Card
TXN0154,U019,2022-09-29,770.46,Uber,Delhi,CREDIT,Card
TXN0155,U093,2022-10-24,2273.09,Ola,Bangalore,DEBIT,Card
TXN0156,U012,2023-12-09,1929.41,Flipkart,Delhi,DEBIT,UPI
TXN0157,U025,2022-10-18,2135.19,Zomato,Ahmedabad,CREDIT,Netbanking
TXN0158,U008,2023-01-13,889.36,Uber,Ahmedabad,DEBIT,Netbanking
TXN0159,U010,2023-10-07,3352.55,Ola,Pune,DEBIT,UPI
TXN0160,U032,2022-04-22,4923.15,Ola,Kolkata,DEBIT,Card
TXN0161,U003,2022-11-11,3177.12,Ola,Bangalore,DEBIT,UPI
TXN0162,U001,2022-01-15,3326.26,IRCTC,Pune,CREDIT,Netbanking
TXN0163,U030,2022-06-01,4126.6,Amazon,Bangalore,DEBIT,Netbanking
TXN0164,U096,2022-01-10,410.28,Flipkart,Delhi,DEBIT,Netbanking
TXN0165,U035,2022-10-14,551.99,Flipkart,Kolkata,CREDIT,UPI
TXN0166,U027,2023-01-20,2161.28,Zomato,Pune,CREDIT,UPI
TXN0167,U013,2023-09-27,2942.79,Ola,Delhi,DEBIT,Netbanking
TXN0168,U093,2022-07-08,224.87,Uber,Kolkata,DEBIT,Netbanking
TXN0169,U047,2022-11-24,1917.73,BigBasket,Kolkata,DEBIT,Netbanking
TXN0170,U078,2022-02-23,520.99,IRCTC,Pune,DEBIT,UPI
TXN0171,U072,2023-02-08,2397.55,Amazon,Hyderabad,CREDIT,Card
TXN0172,U067,2023-06-23,830.41,Ola,Ahmedabad,DEBIT,Card
TXN0173,U074,2022-05-30,4226.33,IRCTC,Mumbai,DEBIT,Netbanking
TXN0174,U048,2022-01-07,1011.55,Uber,Bangalore,DEBIT,Netbanking
TXN0175,U001,2023-11-27,4034.49,Myntra,Hyderabad,DEBIT,Card
TXN0176,U089,2023-03-21,539.29,Zomato,Mumbai,DEBIT,Card
TXN0177,U057,2022-01-20,3225.8,Uber,Bangalore,CREDIT,Card
TXN0178,U046,2023-12-30,3197.34,Myntra,Ahmedabad,CREDIT,Card
TXN0179,U060,2023-03-19,1160.31,IRCTC,Hyderabad,DEBIT,Card
TXN0180,U065,2022-01-10,3822.31,IRCTC,Mumbai,CREDIT,UPI
TXN0181,U017,2023-10-12,3755.98,Uber,Hyderabad,CREDIT,UPI
TXN0182,U024,2023-05-16,4179.55,Flipkart,Delhi,DEBIT,Card
TXN0183,U042,2022-09-14,4528.39,BigBasket,Kolkata,CREDIT,Card
TXN0184,U032,2023-06-17,4561.68,Zomato,Bangalore,DEBIT,UPI
TXN0185,U012,2022-10-01,2665.8,IRCTC,Pune,CREDIT,Netbanking
TXN0186,U057,2022-02-06,3123.45,Flipkart,Bangalore,CREDIT,UPI
TXN0187,U074,2023-04-03,2635.19,Zomato,Bangalore,CREDIT,Card
TXN0188,U042,2022-02-16,2200.81,Flipkart,Bangalore,DEBIT,UPI
TXN0189,U092,2022-03-19,1634.73,Zomato,Pune,CREDIT,Card
TXN0190,U075,2023-12-08,970.99,Uber,Ahmedabad,CREDIT,Card
TXN0191,U069,2023-05-07,383.09,BigBasket,Delhi,DEBIT,Netbanking
TXN0192,U081,2022-06-02,3382.69,IRCTC,Pune,CREDIT,Card
TXN0193,U063,2022-10-09,2726.54,Myntra,Chennai,DEBIT,Card
TXN0194,U026,2023-04-20,4665.22,Ola,Bangalore,DEBIT,Card
TXN0195,U077,2022-11-30,3639.24,Ola,Ahmedabad,DEBIT,Card
TXN0196,U039,2022-02-06,1183.11,Myntra,Pune,DEBIT,UPI
TXN0197,U012,2022-05-16,2910.39,Swiggy,Mumbai,CREDIT,Card
TXN0198,U092,2022-10-28,1620.35,Zomato,Delhi,DEBIT,UPI
TXN0199,U038,2022-08-11,4648.23,Uber,Bangalore,CREDIT,UPI
TXN0200,U030,2022-07-31,854.19,Uber,Bangalore,CREDIT,UPI
TXN0201,U003,2023-06-03,1900.56,BigBasket,Delhi,DEBIT,Card
TXN0202,U040,2023-05-12,1432.43,Uber,Mumbai,DEBIT,UPI
TXN0203,U083,2022-08-25,1820.62,Zomato,Kolkata,CREDIT,Card
TXN0204,U002,2022-12-01,1756.92,BigBasket,Hyderabad,CREDIT,Card
TXN0205,U016,2022-05-06,1777.66,Uber,Hyderabad,DEBIT,Card
TXN0206,U043,2023-09-20,2238.25,Swiggy,Delhi,CREDIT,Card
TXN0207,U093,2023-08-22,1302.2,Myntra,Mumbai,CREDIT,Card
TXN0208,U007,2022-10-21,2084.77,IRCTC,Hyderabad,DEBIT,UPI
TXN0209,U068,2022-12-22,1481.34,Zomato,Mumbai,DEBIT,Card
TXN0210,U034,2023-02-21,1916.04,Zomato,Chennai,DEBIT,Card
TXN0211,U069,2023-06-13,3399.44,Amazon,Kolkata,CREDIT,Card
TXN0212,U042,2023-02-01,1105.2,Amazon,Chennai,CREDIT,UPI
TXN0213,U096,2022-06-25,2907.31,Amazon,Ahmedabad,DEBIT,UPI
TXN0214,U072,2023-08-12,2662.71,Ola,Mumbai,DEBIT,Card
TXN0215,U008,2023-02-07,3550.28,Flipkart,Hyderabad,DEBIT,Netbanking
TXN0216,U021,2023-06-07,99.45,IRCTC,Ahmedabad,CREDIT,Card
TXN0217,U070,2023-04-08,819.88,Uber,Bangalore,CREDIT,Card
TXN0218,U081,2023-04-20,649.52,Myntra,Hyderabad,CREDIT,Card
TXN0219,U058,2022-09-25,4944.53,Uber,Chennai,CREDIT,UPI
TXN0220,U020,2023-06-03,4705.26,Uber,Bangalore,CREDIT,Netbanking
TXN0221,U073,2023-01-17,2913.16,Swiggy,Ahmedabad,CREDIT,UPI
TXN0222,U010,2022-12-28,1617.63,Amazon,Ahmedabad,CREDIT,Netbanking
TXN0223,U081,2023-08-07,2165.87,BigBasket,Mumbai,CREDIT,UPI
TXN0224,U036,2022-01-06,4767.16,BigBasket,Hyderabad,DEBIT,UPI
TXN0225,U065,2023-04-15,2343.54,IRCTC,Kolkata,CREDIT,Card
TXN0226,U044,2022-02-10,3190.81,IRCTC,Ahmedabad,CREDIT,Netbanking
TXN0227,U070,2023-04-14,4141.61,Myntra,Kolkata,DEBIT,UPI
TXN0228,U057,2023-12-08,3758.16,IRCTC,Ahmedabad,DEBIT,Card
TXN0229,U039,2022-12-30,891.0,Uber,Ahmedabad,CREDIT,Netbanking
TXN0230,U022,2023-12-05,797.61,Swiggy,Ahmedabad,CREDIT,UPI
TXN0231,U024,2022-04-29,1549.67,BigBasket,Mumbai,DEBIT,Netbanking
TXN0232,U032,2023-05-09,1539.62,Ola,Chennai,DEBIT,UPI
TXN0233,U057,2022-12-31,1775.1,Ola,Kolkata,CREDIT,Card
TXN0234,U081,2022-07-01,4570.69,Flipkart,Pune,DEBIT,Netbanking
TXN0235,U061,2022-10-30,3255.29,Zomato,Mumbai,DEBIT,Card
TXN0236,U003,2022-10-09,575.75,BigBasket,Bangalore,DEBIT,Card
TXN0237,U038,2023-12-04,979.9,Zomato,Bangalore,CREDIT,UPI
TXN0238,U037,2022-04-16,1902.81,BigBasket,Kolkata,CREDIT,Netbanking
TXN0239,U080,2022-04-02,920.41,Ola,Kolkata,CREDIT,UPI
TXN0240,U006,2022-02-11,3598.04,Amazon,Ahmedabad,CREDIT,UPI
TXN0241,U072,2022-07-12,3829.62,Flipkart,Kolkata,CREDIT,Netbanking
TXN0242,U040,2023-05-10,1672.46,Myntra,Hyderabad,CREDIT,Card
TXN0243,U013,2022-06-15,1122.4,Flipkart,Chennai,CREDIT,UPI
TXN0244,U022,2022-11-17,4336.01,Myntra,Kolkata,DEBIT,Netbanking
TXN0245,U035,2023-08-21,2213.22,Amazon,Kolkata,DEBIT,UPI
TXN0246,U071,2023-01-23,3173.28,Uber,Bangalore,DEBIT,UPI
TXN0247,U017,2022-08-07,638.84,Zomato,Kolkata,DEBIT,Card
TXN0248,U017,2022-07-22,1506.88,BigBasket,Kolkata,DEBIT,UPI
TXN0249,U016,2023-04-18,2585.48,Zomato,Ahmedabad,CREDIT,UPI
TXN0250,U075,2023-07-13,1980.31,Uber,Kolkata,DEBIT,Card
TXN0251,U088,2022-06-05,4015.02,IRCTC,Hyderabad,CREDIT,UPI
TXN0252,U084,2022-11-15,138.53,Zomato,Mumbai,DEBIT,Card
TXN0253,U045,2022-10-31,1992.74,BigBasket,Ahmedabad,CREDIT,Card
TXN0254,U099,2022-03-09,1304.13,Amazon,Delhi,DEBIT,UPI
TXN0255,U029,2022-09-24,904.22,Amazon,Chennai,DEBIT,UPI
TXN0256,U030,2022-06-22,4536.96,Ola,Bangalore,DEBIT,UPI
TXN0257,U084,2022-08-26,2648.08,BigBasket,Pune,CREDIT,UPI
TXN0258,U008,2023-03-12,1330.57,BigBasket,Hyderabad,CREDIT,Netbanking
TXN0259,U058,2022-07-03,472.3,Swiggy,Bangalore,CREDIT,UPI
TXN0260,U024,2023-04-28,1426.63,BigBasket,Bangalore,DEBIT,UPI
TXN0261,U013,2022-11-03,2463.45,Amazon,Hyderabad,DEBIT,Card
TXN0262,U088,2023-03-31,1587.14,Zomato,Bangalore,DEBIT,Card
TXN0263,U034,2022-02-17,2697.65,BigBasket,Pune,CREDIT,UPI
TXN0264,U075,2023-12-03,2705.94,Myntra,Ahmedabad,CREDIT,UPI
TXN0265,U088,2022-01-20,706.04,IRCTC,Delhi,CREDIT,Netbanking
TXN0266,U086,2022-01-27,2932.2,Amazon,Kolkata,DEBIT,Card
TXN0267,U061,2023-07-05,1164.34,Flipkart,Hyderabad,CREDIT,Card
TXN0268,U057,2022-02-01,3319.37,Ola,Ahmedabad,DEBIT,UPI
TXN0269,U009,2022-10-04,1446.16,Flipkart,Kolkata,DEBIT,Netbanking
TXN0270,U006,2023-07-24,3890.21,Myntra,Ahmedabad,DEBIT,Netbanking
TXN0271,U010,2022-10-23,2734.39,Ola,Pune,CREDIT,Netbanking
TXN0272,U067,2022-05-04,2708.78,Ola,Bangalore,CREDIT,UPI
TXN0273,U002,2023-04-23,2238.75,Flipkart,Delhi,CREDIT,Card
TXN0274,U073,2022-04-28,2356.54,Amazon,Bangalore,DEBIT,UPI
TXN0275,U024,2022-02-24,152.5,BigBasket,Mumbai,CREDIT,UPI
TXN0276,U029,2023-07-10,286.45,Uber,Kolkata,DEBIT,Card
TXN0277,U090,2023-11-02,2790.7,BigBasket,Ahmedabad,CREDIT,Card
TXN0278,U083,2022-03-16,1201.5,Zomato,Ahmedabad,CREDIT,Card
TXN0279,U017,2022-01-18,1634.95,IRCTC,Pune,DEBIT,Netbanking
TXN0280,U005,2022-08-17,1929.37,Zomato,Pune,DEBIT,Netbanking
TXN0281,U100,2022-10-03,2674.27,Ola,Pune,DEBIT,Netbanking
TXN0282,U052,2023-11-13,3535.09,Flipkart,Chennai,DEBIT,UPI
TXN0283,U014,2023-08-05,4050.61,Swiggy,Chennai,CREDIT,Card
TXN0284,U022,2023-11-21,919.05,Zomato,Ahmedabad,CREDIT,Netbanking
TXN0285,U064,2022-09-12,1508.77,BigBasket,Pune,CREDIT,Netbanking
TXN0286,U009,2023-07-05,2884.24,IRCTC,Delhi,DEBIT,Netbanking
TXN0287,U097,2022-03-19,2117.95,Ola,Mumbai,CREDIT,Netbanking
TXN0288,U064,2023-07-17,1572.94,Flipkart,Delhi,CREDIT,Netbanking
TXN0289,U097,2023-02-14,1186.51,Amazon,Pune,DEBIT,UPI
TXN0290,U016,2022-09-25,544.33,Ola,Ahmedabad,DEBIT,Netbanking
TXN0291,U035,2023-07-08,1308.74,Ola,Chennai,CREDIT,Card
TXN0292,U054,2023-02-01,3257.02,Ola,Bangalore,CREDIT,Netbanking
TXN0293,U093,2022-03-19,3308.89,Ola,Delhi,DEBIT,UPI
TXN0294,U045,2023-04-28,4060.53,Swiggy,Kolkata,DEBIT,UPI
TXN0295,U069,2022-12-07,428.26,Swiggy,Mumbai,CREDIT,Netbanking
TXN0296,U017,2023-02-01,4385.27,BigBasket,Mumbai,CREDIT,UPI
TXN0297,U041,2022-11-20,2783.59,Ola,Mumbai,DEBIT,UPI
TXN0298,U060,2023-09-11,2507.93,IRCTC,Pune,DEBIT,Card
TXN0299,U079,2022-11-26,4614.83,BigBasket,Kolkata,DEBIT,Card
TXN0300,U018,2023-07-28,3235.59,Flipkart,Pune,CREDIT,Card
TXN0301,U097,2022-09-10,2957.51,Swiggy,Delhi,CREDIT,Netbanking
TXN0302,U046,2022-07-05,1145.1,Ola,Chennai,DEBIT,UPI
TXN0303,U039,2022-05-14,2892.12,Ola,Ahmedabad,DEBIT,Netbanking
TXN0304,U066,2022-10-12,2620.02,BigBasket,Bangalore,DEBIT,UPI
TXN0305,U072,2022-08-13,1535.36,Zomato,Delhi,DEBIT,Card
TXN0306,U069,2022-05-06,3619.76,Swiggy,Delhi,CREDIT,Card
TXN0307,U055,2022-07-22,3097.19,Uber,Delhi,DEBIT,UPI
TXN0308,U012,2022-10-12,4268.33,Amazon,Pune,CREDIT,UPI
TXN0309,U004,2022-06-23,3246.75,Swiggy,Hyderabad,CREDIT,Netbanking
TXN0310,U075,2023-09-14,3265.21,Zomato,Mumbai,CREDIT,Netbanking
TXN0311,U089,2023-02-04,4840.13,Ola,Delhi,CREDIT,UPI
TXN0312,U034,2023-10-26,492.61,BigBasket,Bangalore,CREDIT,UPI
TXN0313,U028,2023-06-05,470.98,Myntra,Delhi,DEBIT,UPI
TXN0314,U095,2023-08-30,4809.76,Zomato,Delhi,DEBIT,Netbanking
TXN0315,U033,2023-11-04,1231.42,Myntra,Ahmedabad,CREDIT,Card
TXN0316,U068,2022-11-06,4624.3,BigBasket,Mumbai,DEBIT,Card
TXN0317,U053,2023-10-23,2346.16,Swiggy,Mumbai,DEBIT,Card
TXN0318,U024,2022-06-05,2583.92,Ola,Pune,CREDIT,UPI
TXN0319,U052,2022-10-07,3299.41,Flipkart,Kolkata,CREDIT,Card
TXN0320,U087,2022-10-13,3376.68,Amazon,Chennai,DEBIT,Netbanking
TXN0321,U028,2022-09-18,2958.96,BigBasket,Chennai,CREDIT,Card
TXN0322,U010,2023-06-25,4246.21,IRCTC,Chennai,CREDIT,Netbanking
TXN0323,U097,2023-11-16,314.73,Uber,Chennai,CREDIT,UPI
TXN0324,U087,2022-04-20,4311.89,IRCTC,Bangalore,DEBIT,Netbanking
TXN0325,U053,2022-09-28,3937.31,Zomato,Pune,DEBIT,Netbanking
TXN0326,U043,2023-11-22,143.17,Amazon,Pune,DEBIT,Card
TXN0327,U057,2022-02-08,748.16,Flipkart,Mumbai,CREDIT,Card
TXN0328,U028,2023-11-17,3383.93,Myntra,Ahmedabad,DEBIT,Card
TXN0329,U015,2022-12-07,187.77,Zomato,Bangalore,DEBIT,Card
TXN0330,U007,2023-09-13,2064.1,BigBasket,Pune,DEBIT,Card
TXN0331,U048,2022-04-05,4455.6,IRCTC,Hyderabad,CREDIT,Netbanking
TXN0332,U030,2023-11-01,2940.73,Swiggy,Chennai,CREDIT,Card
